,,,WORLD ECONOMIC DEVELOPMENT INDICATORS,,
,,,,,
Country Name,GDP- Growth Rate,Unemployment Rate,General government final consumption expenditure (current US$),"Birth rate, crude (per 1,000 people)",Population growth (annual %)
Africa Eastern and Southern,1.18514E+12,7.92,1.70068E+11,33.55,2.54
Angola,1.06783E+11,10.21,7719373666,38.81,3.1
Albania,18916378861,11.81,1925452601,10.24,-1.22
Arab World,3.54334E+12,10.66,5.56469E+11,23.77,1.79
Argentina,6.31133E+11,6.49,97175134139,13.9,0.93
Armenia,19513474648,12.56,2478044162,12.05,-0.38
Australia,1.69296E+12,3.66,3.72776E+11,12.1,1.24
Austria,4.70942E+11,4.71,96961222478,9.6,0.96
